iter	Passed	Remaining
668	7621	3770
669	7634	3760
670	7650	3751
671	7665	3741
672	7681	3732
673	7692	3720
674	7707	3710
675	7722	3701
676	7735	3690
677	7749	3680
678	7759	3668
679	7772	3657
680	7786	3647
681	7801	3637
682	7814	3626
683	7826	3615
684	7835	3603
685	7846	3591
686	7855	3578
687	7866	3567
688	7878	3556
689	7890	3544
690	7902	3533
691	7916	3523
692	7934	3515
693	7950	3505
694	7964	3495
695	7977	3484
696	7987	3472
697	8001	3462
698	8015	3451
699	8028	3440
700	8041	3430
701	8053	3418
702	8067	3408
703	8082	3398
704	8094	3387
705	8107	3376
706	8124	3367
707	8135	3355
708	8147	3343
709	8158	3332
710	8166	3319
711	8177	3307
712	8185	3294
713	8195	3282
714	8205	3270
715	8216	3259
716	8225	3246
717	8235	3234
718	8243	3221
719	8253	3209
720	8262	3197
721	8272	3185
722	8281	3172
723	8290	3160
724	8299	3148
725	8310	3136
726	8320	3124
727	8329	3112
728	8339	3100
729	8348	3087
730	8358	3075
731	8367	3063
732	8377	3051
733	8389	3040
734	8398	3028
735	8409	3016
736	8419	3004
737	8428	2992
738	8438	2980
739	8447	2967
740	8457	2956
741	8467	2944
742	8475	2931
743	8490	2921
744	8501	2910
745	8512	2898
746	8528	2888
747	8542	2877
748	8554	2866
749	8565	2855
750	8579	2844
751	8593	2834
752	8611	2824
753	8627	2814
754	8642	2804
755	8657	2794
756	8671	2783
757	8683	2772
758	8693	2760
759	8706	2749
760	8719	2738
761	8728	2726
762	8742	2715
763	8754	2704
764	8765	2692
765	8775	2680
766	8785	2668
767	8794	2656
768	8804	2644
769	8815	2633
770	8825	2621
771	8838	2610
772	8849	2598
773	8857	2586
774	8868	2574
775	8880	2563
776	8889	2551
777	8900	2539
778	8909	2527
779	8925	2517
780	8944	2508
781	8953	2496
782	8963	2484
783	8971	2471
784	8981	2459
785	8989	2447
786	8999	2435
787	9007	2423
788	9017	2411
789	9027	2399
790	9036	2387
791	9046	2375
792	9055	2363
793	9065	2351
794	9073	2339
795	9083	2327
796	9093	2316
797	9102	2304
798	9111	2292
799	9120	2280
800	9130	2268
801	9139	2256
802	9150	2244
803	9160	2233
804	9172	2222
805	9182	2210
806	9192	2198
807	9201	2186
808	9211	2174
809	9220	2162
810	9232	2151
811	9242	2139
812	9251	2127
813	9261	2116
814	9270	2104
815	9282	2093
816	9291	2081
817	9300	2069
818	9310	2057
819	9320	2045
820	9330	2034
821	9346	2023
822	9357	2012
823	9366	2000
824	9376	1988
825	9384	1976
826	9395	1965
827	9405	1953
828	9415	1942
829	9426	1930
830	9439	1919
831	9453	1908
832	9466	1897
833	9478	1886
834	9491	1875
835	9502	1864
836	9511	1852
837	9522	1840
838	9533	1829
839	9545	1818
840	9556	1806
841	9564	1794
842	9574	1783
843	9584	1771
844	9593	1759
845	9603	1748
846	9612	1736
847	9621	1724
848	9629	1712
849	9639	1701
850	9648	1689
851	9659	1677
852	9668	1666
853	9681	1655
854	9693	1643
855	9704	1632
856	9717	1621
857	9725	1609
858	9736	1598
859	9745	1586
860	9754	1574
861	9761	1562
862	9769	1550
863	9776	1538
864	9784	1527
865	9791	1515
866	9799	1503
867	9806	1491
868	9814	1479
869	9822	1467
870	9829	1455
871	9836	1443
872	9843	1432
873	9855	1420
874	9868	1409
875	9877	1398
876	9886	1386
877	9896	1375
878	9903	1363
879	9910	1351
880	9918	1339
881	9925	1327
882	9933	1316
883	9940	1304
884	9949	1292
885	9956	1281
886	9964	1269
887	9972	1257
888	9980	1246
889	9987	1234
890	9995	1222
891	10002	1211
892	10009	1199
893	10017	1187
894	10023	1175
895	10031	1164
896	10038	1152
897	10046	1141
898	10053	1129
899	10061	1117
900	10072	1106
901	10080	1095
902	10087	1083
903	10096	1072
904	10103	1060
905	10111	1049
906	10118	1037
907	10127	1026
908	10135	1014
909	10144	1003
910	10151	991
911	10158	980
912	10167	968
913	10174	957
914	10182	945
915	10189	934
916	10197	922
917	10204	911
918	10214	900
919	10221	888
920	10230	877
921	10236	866
922	10245	854
923	10252	843
924	10260	831
925	10267	820
926	10275	809
927	10283	797
928	10291	786
929	10298	775
930	10305	763
931	10313	752
932	10320	741
933	10328	729
934	10334	718
935	10342	707
936	10349	695
937	10358	684
938	10364	673
939	10373	662
940	10381	650
941	10388	639
942	10395	628
943	10402	617
944	10410	605
945	10417	594
946	10425	583
947	10432	572
948	10440	561
949	10447	549
950	10455	538
951	10461	527
952	10471	516
953	10481	505
954	10489	494
955	10496	483
956	10504	471
957	10511	460
958	10518	449
959	10526	438
960	10533	427
961	10541	416
962	10548	405
963	10556	394
964	10562	383
965	10572	372
966	10579	361
967	10587	350
968	10594	338
969	10602	327
970	10610	316
971	10616	305
972	10625	294
973	10632	283
974	10658	273
975	10669	262
976	10677	251
977	10686	240
978	10693	229
979	10701	218
980	10708	207
981	10715	196
982	10723	185
983	10730	174
984	10739	163
985	10746	152
986	10754	141
987	10760	130
988	10768	119
989	10775	108
990	10784	97
991	10791	87
992	10799	76
993	10806	65
994	10814	54
995	10822	43
996	10829	32
997	10837	21
998	10844	10
999	10852	0
